ConstituentID,ObjectID,Maker,DisplayName,DisplayDate,DisplayOrder,Role,Prefix,Suffix,AlphaSort,Displayed,LastName,FirstName,NameTitle,allartists,objectnumber
995,74213,"Cornell, Joseph",Joseph Cornell,"born Nyack, NY 1903-died New York City 1972",1,Artist,,,"Cornell, Joseph",1,Cornell,Joseph,,Joseph Cornell,1991.155.270
995,74218,"Cornell, Joseph",Joseph Cornell,"born Nyack, NY 1903-died New York City 1972",1,Artist,,,"Cornell, Joseph",1,Cornell,Joseph,,Joseph Cornell,1991.155.275
995,74263,"Cornell, Joseph",Joseph Cornell,"born Nyack, NY 1903-died New York City 1972",1,Artist,,,"Cornell, Joseph",1,Cornell,Joseph,,Joseph Cornell,1991.155.320
995,74278,"Cornell, Joseph",Joseph Cornell,"born Nyack, NY 1903-died New York City 1972",1,Artist,,,"Cornell, Joseph",1,Cornell,Joseph,,Joseph Cornell,1991.155.335
995,74285,"Cornell, Joseph",Joseph Cornell,"born Nyack, NY 1903-died New York City 1972",1,Artist,,,"Cornell, Joseph",1,Cornell,Joseph,,Joseph Cornell,1991.155.342
18175,56576,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,2000.83.59
18175,56672,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1967.14.74D
29943,81232,"Demaine, Erik",Erik Demaine,"born Halifax, Nova Scotia 1981",1,Artist,,,"Demaine, Erik",1,Demaine,Erik,,Erik Demaine,2011.54.2
7165,35399,"Stewart-Keller, Jody",Jody Stewart-Keller,"born Norfolk, PA 1954",1,Artist,,,"Stewart-Keller, Jody",1,Stewart-Keller,Jody,,Jody Stewart-Keller,1996.95
18175,31011,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1929.8.407.1
18175,31060,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1929.8.454.2
18175,31063,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1929.8.462
18175,31083,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1929.8.484
18175,31089,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1929.8.486.6
18175,77007,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1997.118.199
18175,77014,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1997.118.206
18175,77126,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1997.118.239
18175,29463,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1929.8.176.3
18175,29491,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1929.8.199
18175,29518,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1929.8.183.15
18175,25127,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1986.65.214
18175,25132,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1983.63.70
18175,76821,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1997.118.68
18175,76826,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1997.118.73
5468,76878,"Wood, Beatrice",Beatrice Wood,"born San Francisco, CA 1893-died Ojai, CA 1998",1,Artist,,,"Wood, Beatrice",1,Wood,Beatrice,,Beatrice Wood,2008.5.11
3939,20372,"Ranger, Henry Ward",Henry Ward Ranger,"born Syracuse, NY 1858-died New York City 1916",1,Artist,,,"Ranger, Henry Ward",1,Ranger,Henry Ward,,Henry Ward Ranger,1909.7.55
59,238,"Allen, Christine Rinne",Christine Rinne Allen,n.d.,1,Artist,,,"Allen, Christine Rinne",1,Allen,Christine Rinne,,Christine Rinne Allen,1974.28.264
18175,30579,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1929.8.554.5
18175,30587,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1929.8.585.5
18175,30589,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1929.8.585.7
5293,27305,"Weidner, Roswell",Roswell Weidner,"born Reading, PA 1911-died 1999",1,Artist,,,"Weidner, Roswell",1,Weidner,Roswell,,Roswell Weidner,1967.72.292
18175,31351,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1973.197.1
18175,31397,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1954.9.3
18175,31485,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1929.8.147.6
18175,31489,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1929.8.147.13
18018,31307,"Unidentified, German",Unidentified,German,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1967.82.30
18175,24842,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1929.7.98
18175,24844,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1981.182.2
18175,24967,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1986.70.20
18175,24994,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1979.67.4
18175,25047,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1973.152.1
18175,25121,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1966.4.2
18175,38388,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1999.27.57
18175,78171,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,2009.44.4
18175,78193,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,2009.44.26
3246,17228,"McPherson, Craig",Craig McPherson,"born Wichita, KS 1948",1,Artist,,,"McPherson, Craig",1,McPherson,Craig,,Craig McPherson,1984.73
18175,73911,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,2004.29.53
995,73968,"Cornell, Joseph",Joseph Cornell,"born Nyack, NY 1903-died New York City 1972",1,Artist,,,"Cornell, Joseph",1,Cornell,Joseph,,Joseph Cornell,1991.155.25
995,73984,"Cornell, Joseph",Joseph Cornell,"born Nyack, NY 1903-died New York City 1972",1,Artist,,,"Cornell, Joseph",1,Cornell,Joseph,,Joseph Cornell,1991.155.41
527,2670,"Bounetheau, Henry Brintnell",Henry Brintnell Bounetheau,"born Charleston, SC 1797-died Charleston, SC 1877",1,Artist,,,"Bounetheau, Henry Brintnell",1,Bounetheau,Henry Brintnell,,Henry Brintnell Bounetheau,1946.3.11
2124,10118,"Hawley, Gene",Gene Hawley,"born Washington, DC 1910-died 1989",1,Artist,,,"Hawley, Gene",1,Hawley,Gene,,Gene Hawley,1967.72.322
18175,34430,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1994.91.212
995,5603,"Cornell, Joseph",Joseph Cornell,"born Nyack, NY 1903-died New York City 1972",1,Artist,,,"Cornell, Joseph",1,Cornell,Joseph,,Joseph Cornell,1978.95.3
995,5610,"Cornell, Joseph",Joseph Cornell,"born Nyack, NY 1903-died New York City 1972",1,Artist,,,"Cornell, Joseph",1,Cornell,Joseph,,Joseph Cornell,1985.13.9
995,5612,"Cornell, Joseph",Joseph Cornell,"born Nyack, NY 1903-died New York City 1972",1,Artist,,,"Cornell, Joseph",1,Cornell,Joseph,,Joseph Cornell,1985.13.11
995,5704,"Cornell, Joseph",Joseph Cornell,"born Nyack, NY 1903-died New York City 1972",1,Artist,,,"Cornell, Joseph",1,Cornell,Joseph,,Joseph Cornell,1985.64.58
995,5710,"Cornell, Joseph",Joseph Cornell,"born Nyack, NY 1903-died New York City 1972",1,Artist,,,"Cornell, Joseph",1,Cornell,Joseph,,Joseph Cornell,1985.64.66
995,5712,"Cornell, Joseph",Joseph Cornell,"born Nyack, NY 1903-died New York City 1972",1,Artist,,,"Cornell, Joseph",1,Cornell,Joseph,,Joseph Cornell,1985.64.68
1931,9568,"Greene, Gertrude",Gertrude Greene,born New York City 1904-died New York City 1956,1,Artist,,,"Greene, Gertrude",1,Greene,Gertrude,,Gertrude Greene,1986.92.48
1931,9570,"Greene, Gertrude",Gertrude Greene,born New York City 1904-died New York City 1956,1,Artist,,,"Greene, Gertrude",1,Greene,Gertrude,,Gertrude Greene,1986.92.114.12
995,74104,"Cornell, Joseph",Joseph Cornell,"born Nyack, NY 1903-died New York City 1972",1,Artist,,,"Cornell, Joseph",1,Cornell,Joseph,,Joseph Cornell,1991.155.161
995,74106,"Cornell, Joseph",Joseph Cornell,"born Nyack, NY 1903-died New York City 1972",1,Artist,,,"Cornell, Joseph",1,Cornell,Joseph,,Joseph Cornell,1991.155.163
995,74154,"Cornell, Joseph",Joseph Cornell,"born Nyack, NY 1903-died New York City 1972",1,Artist,,,"Cornell, Joseph",1,Cornell,Joseph,,Joseph Cornell,1991.155.211
995,74156,"Cornell, Joseph",Joseph Cornell,"born Nyack, NY 1903-died New York City 1972",1,Artist,,,"Cornell, Joseph",1,Cornell,Joseph,,Joseph Cornell,1991.155.213
995,74222,"Cornell, Joseph",Joseph Cornell,"born Nyack, NY 1903-died New York City 1972",1,Artist,,,"Cornell, Joseph",1,Cornell,Joseph,,Joseph Cornell,1991.155.279
995,74265,"Cornell, Joseph",Joseph Cornell,"born Nyack, NY 1903-died New York City 1972",1,Artist,,,"Cornell, Joseph",1,Cornell,Joseph,,Joseph Cornell,1991.155.322
995,74276,"Cornell, Joseph",Joseph Cornell,"born Nyack, NY 1903-died New York City 1972",1,Artist,,,"Cornell, Joseph",1,Cornell,Joseph,,Joseph Cornell,1991.155.333
995,74283,"Cornell, Joseph",Joseph Cornell,"born Nyack, NY 1903-died New York City 1972",1,Artist,,,"Cornell, Joseph",1,Cornell,Joseph,,Joseph Cornell,1991.155.340
18175,24466,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1942.11.4
18175,24501,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1986.45.3
18175,24543,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1986.65.203
18175,29509,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1929.8.240.6
4766,23945,"Thayer, Abbott Handerson",Abbott Handerson Thayer,"born Boston, MA 1849-died Dublin, NH 1921",1,Artist,,,"Thayer, Abbott Handerson",1,Thayer,Abbott Handerson,,Abbott Handerson Thayer,1950.2.4
4766,23962,"Thayer, Abbott Handerson",Abbott Handerson Thayer,"born Boston, MA 1849-died Dublin, NH 1921",2,Artist,,,"Thayer, Abbott Handerson",1,Thayer,Abbott Handerson,,Abbott Handerson Thayer,1950.2.26A
4766,58192,"Thayer, Abbott Handerson",Abbott Handerson Thayer,"born Boston, MA 1849-died Dublin, NH 1921",1,Artist,,and others,"Thayer, Abbott Handerson",1,Thayer,Abbott Handerson,,Abbott Handerson Thayer,1950.2.44
1115,6192,"Daniel, Lewis C.",Lewis C. Daniel,"born New York City 1901-died Brookville, IL 1952",1,Artist,,,"Daniel, Lewis C.",1,Daniel,Lewis C.,,Lewis C. Daniel,1984.124.77
1215,6695,"De Niro, Robert",Robert De Niro,"born Syracuse, NY 1922-died New York City 1993",1,Artist,,,"De Niro, Robert",1,De Niro,Robert,,Robert De Niro,1979.113.2
1222,6721,"De Prangey, Girault",Girault De Prangey,"French, born Langres, France 1804-died Langres, France 1893",2,Artist,Copy after ,,"De Prangey, Girault",1,De Prangey,Girault,,Copy after Girault De Prangey,1967.54.72
2908,14612,"Levy, Beatrice S.",Beatrice S. Levy,"born Chicago, IL 1892-died La Jolla, CA 1974",1,Artist,,,"Levy, Beatrice S.",1,Levy,Beatrice S.,,Beatrice S. Levy,1935.13.187
3094,15578,"Man Ray, American",Man Ray,"born Philadelphia, PA 1890-died Paris, France 1976",1,Artist,,,Man Ray,1,Man Ray,,,Man Ray,1983.105.11.3A-B
922,5023,"Coale, Griffith Baily",Griffith Baily Coale,"born Baltimore, MD 1890-died Stonington, CT 1950",1,Artist,,,"Coale, Griffith Baily",1,Coale,Griffith Baily,,Griffith Baily Coale,1964.21.6
6838,34704,"Gonzàlez, Luis C.",Luis C. Gonzàlez,"born Mexico City, Mexico 1953",1,Artist,,,"Gonzàlez, Luis C.",1,Gonzàlez,Luis C.,,Luis C. Gonzàlez,1995.50.24
6645,34808,"Evans, Walker",Walker Evans,"born St. Louis, MO 1903-died New Haven, CT 1975",1,Artist,,,"Evans, Walker",1,Evans,Walker,,Walker Evans,1994.111.3
17984,24814,"Unidentified, French",Unidentified,French,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1929.7.82
17984,24921,"Unidentified, French",Unidentified,French,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1998.41.1
27237,77678,[no name],Jeanne-Claude,"born Casablanca, Morocco 1935-died New York City 2009",3,Artist,,,Jeanne-Claude,1,,Jeanne-Claude,,Jeanne-Claude,RF.3.103
27237,77725,[no name],Jeanne-Claude,"born Casablanca, Morocco 1935-died New York City 2009",3,Artist,,,Jeanne-Claude,1,,Jeanne-Claude,,Jeanne-Claude,RF.3.150
27237,77729,[no name],Jeanne-Claude,"born Casablanca, Morocco 1935-died New York City 2009",3,Artist,,,Jeanne-Claude,1,,Jeanne-Claude,,Jeanne-Claude,RF.3.154
27237,77759,[no name],Jeanne-Claude,"born Casablanca, Morocco 1935-died New York City 2009",3,Artist,,,Jeanne-Claude,1,,Jeanne-Claude,,Jeanne-Claude,RF.3.184
27237,77776,[no name],Jeanne-Claude,"born Casablanca, Morocco 1935-died New York City 2009",3,Artist,,,Jeanne-Claude,1,,Jeanne-Claude,,Jeanne-Claude,RF.3.201
27237,77935,[no name],Jeanne-Claude,"born Casablanca, Morocco 1935-died New York City 2009",3,Artist,,,Jeanne-Claude,1,,Jeanne-Claude,,Jeanne-Claude,RF.3.260
27237,77964,[no name],Jeanne-Claude,"born Casablanca, Morocco 1935-died New York City 2009",3,Artist,,,Jeanne-Claude,1,,Jeanne-Claude,,Jeanne-Claude,RF.3.289
4673,17224,"Stovall, Lou",Lou Stovall,"born Athens, GA 1937",2,Artist,,,"Stovall, Lou",1,Stovall,Lou,,Lou Stovall,1970.27
27237,77990,[no name],Jeanne-Claude,"born Casablanca, Morocco 1935-died New York City 2009",3,Artist,,,Jeanne-Claude,1,,Jeanne-Claude,,Jeanne-Claude,RF.3.308.9
27237,78003,[no name],Jeanne-Claude,"born Casablanca, Morocco 1935-died New York City 2009",3,Artist,,,Jeanne-Claude,1,,Jeanne-Claude,,Jeanne-Claude,RF.3.337
17984,30791,"Unidentified, French",Unidentified,French,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1956.6.A-13
18175,29514,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1929.8.240.15
18175,29529,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1929.8.159.16
