ConstituentID,AlphaSort,DisplayName,BeginDate,EndDate,DisplayDate,Code,Nationality
5629,Mauboussin,Mauboussin,1827,2027,founded 1827,Verified,French
5637,Corning Glass Works,Corning Glass Works,1851,2051,founded 1851,Provisional,American
5639,Brown's Pottery,Brown's Pottery,1923,2023,founded 1923,Verified,American
5652,Bank Street Atelier,Bank Street Atelier,1871,2071,n.d.,Provisional,American
5665,"Parasol Press, Ltd.","Parasol Press, Ltd.",0,0,,Candidate,
5666,Domberger KG,Domberger KG,0,0,,Candidate,
5669,Stone Press Editions,Stone Press Editions,0,0,,Candidate,
5672,Angeles Press,Angeles Press,1980,2180,founded 1980,Provisional,American
5673,Trillium Graphics,Trillium Graphics,0,0,,Candidate,
5677,Mantegna Press,Mantegna Press,0,0,,Candidate,
5691,Magnolia Editions,Magnolia Editions,0,0,,Candidate,American
5705,Holiseventh Press,Holiseventh Press,0,0,,Candidate,
5709,"Kansas City Paperworks, Inc.","Kansas City Paperworks, Inc.",0,0,,Candidate,
5720,Hand Print Workshop,Hand Print Workshop,0,0,,Candidate,
5721,Crown Point Press,Crown Point Press,1914,2033,,Provisional,American
5727,Diane Villani Editions,Diane Villani Editions,0,0,,Candidate,
5731,Universal Limited Art Editions,Universal Limited Art Editions,0,0,,Candidate,
5774,Littleton Studios,Littleton Studios,1938,2038,n.d.,Provisional,American
5795,Pelavin Editions,Pelavin Editions,0,0,,Candidate,American
5796,Rutgers Archive for Printmaking Studios,Rutgers Archive for Printmaking Studios,0,0,,Candidate,American
5843,Brandywine Graphic Workshop,Brandywine Graphic Workshop,1972,2172,founded 1972,Verified,American
5856,Goodstuffs Handprinted Fabrics,Goodstuffs Handprinted Fabrics,0,0,,Candidate,
5857,Stovall Workshop Inc.,Stovall Workshop Inc.,0,0,,Candidate,
5858,Pyramid Atlantic,Pyramid Atlantic,0,0,,Candidate,
5866,Twenty-one Steps Studio,Twenty-one Steps Studio,0,0,,Candidate,
5878,Hollander Workshop,Hollander Workshop,0,0,,Candidate,
5916,Cirrus Editions,Cirrus Editions,1970,2070,founded 1970,Provisional,American
5917,"Landfall Press, Inc.","Landfall Press, Inc.",0,0,,Candidate,
5920,Gemini G.E.L.,Gemini G.E.L.,0,0,,Candidate,
5922,Printmaking Workshop,Printmaking Workshop,0,0,,Candidate,
5927,Experimental Workshop,Experimental Workshop,0,0,,Candidate,American
5931,Castelli Graphics,Castelli Graphics,1877,2086,n.d.,Provisional,American
5953,Susan Hover Editions,Susan Hover Editions,0,0,,Candidate,
5954,Abrams Original Editions,Abrams Original Editions,0,0,,Provisional,American
5956,Associated American Artists,Associated American Artists,1934,2134,founded 1934,Provisional,American
5963,Keppel and Co.,Keppel and Co.,0,0,,Candidate,
5964,Stone and Kimball,Stone and Kimball,0,0,,Candidate,
5965,Estes and Lauriat,Estes and Lauriat,0,0,,Candidate,
5967,"Petersburg Press, Inc.","Petersburg Press, Inc.",1921,2021,,Candidate,
5968,E. Schreiber,E. Schreiber,0,0,,Candidate,
5969,Dietz Offizin,Dietz Offizin,0,0,,Candidate,
5978,"Palm Press, Inc.","Palm Press, Inc.",0,0,,Candidate,
5992,Self-Help Graphics,Self-Help Graphics,0,0,,Candidate,
5993,Collectors Graphics,Collectors Graphics,1910,2015,n.d.,Provisional,American
5996,Whitney Museum of American Art,Whitney Museum of American Art,0,0,,Candidate,
5998,Atelier 17,Atelier 17,1840,2047,n.d.,Provisional,American
5999,Laurel Gallery,Laurel Gallery,0,0,,Candidate,
6003,Will A. Kistler Company,Will A. Kistler Company,0,0,,Candidate,
6004,Los Dos de Los,Los Dos de Los,1938,2038,n.d.,Provisional,American
6006,Efram Wolff Studio,Efram Wolff Studio,0,0,,Candidate,
6023,"Brooke Alexander, Inc.","Brooke Alexander, Inc.",1922,2025,,Provisional,American
6024,"Marlborough Graphics, Inc.","Marlborough Graphics, Inc.",0,0,,Candidate,
6026,"Hand Graphics, Ltd.","Hand Graphics, Ltd.",0,0,,Candidate,
6028,Metropolitan Opera,Metropolitan Opera,0,0,,Candidate,
6029,Styria Studio,Styria Studio,0,0,,Candidate,
6030,"Mourlot Graphics, Ltd.","Mourlot Graphics, Ltd.",0,0,,Candidate,
6031,Spiral Press,Spiral Press,0,0,,Candidate,
6032,Geryon Press,Geryon Press,0,0,,Candidate,
6047,Grenfell Press,Grenfell Press,1890,2090,active New York City late 20th century-early 21st century,Provisional,American
6049,Editions Ilene Kurtz,Editions Ilene Kurtz,0,0,,Candidate,
6052,Geo. H. Walker and Co.,Geo. H. Walker and Co.,0,0,,Candidate,
6055,L'Estampe Moderne,L'Estampe Moderne,1797,1997,"French, active Paris, France late 19th century",Provisional,French
6057,Circle Gallery,Circle Gallery,1928,2028,n.d.,Provisional,
6078,New Republic,New Republic,0,0,,Candidate,
6081,Roman Bronze Works,Roman Bronze Works,0,0,,Candidate,American
6082,Compagnie des Bronzes de Bruxelles,Compagnie des Bronzes de Bruxelles,1853,1979,"founded Brussels, Belgium 1853/54-closed 1979",Verified,Belgian
6083,Pond Farm,Pond Farm,0,0,,Candidate,
6088,La Courièrre Printing Shop,La Courièrre Printing Shop,1873,2073,"active Paris, France 20th century",Provisional,French
6089,Wisconsin Arts Council,Wisconsin Arts Council,0,0,,Candidate,
6093,Yale Publishing Association,Yale Publishing Association,0,0,,Candidate,
6132,Gruet Jeune,Gruet Jeune,1865,1890,"founded Paris, France 1865-closed 1890",Verified,French
6137,Cane Press,Cane Press,0,0,n.d.,Provisional,
6138,Visual Studies Workshop,Visual Studies Workshop,0,0,,Candidate,
6178,Wadsworth Atheneum,Wadsworth Atheneum,0,0,,Candidate,
6179,Berggruen and Cie,Berggruen and Cie,1911,2011,n.d.,Provisional,
6181,Ives-Sillman,Ives-Sillman,0,0,,Candidate,
6182,Kistler Lithography Studio,Kistler Lithography Studio,0,0,,Candidate,
6195,Maurel Studios,Maurel Studios,0,0,,Candidate,
6196,Mass Originals and Multiples,Mass Originals and Multiples,0,0,,Candidate,
6199,Middendorf Gallery,Middendorf Gallery,1926,2026,"active Washington, DC 20th century",Provisional,American
6208,Tyler Graphics,Tyler Graphics,1974,2074,founded 1974,Candidate,American
6216,M. Knoedler and Company,M. Knoedler and Company,0,0,,Candidate,
6223,Jean Chambers Moore,Jean Chambers Moore,0,0,,Candidate,
6224,Grabhorn Press,Grabhorn Press,0,0,,Candidate,
6229,Triton Press,Triton Press,0,0,,Candidate,
6230,Unity Engraving,Unity Engraving,0,0,,Candidate,
6231,Museum of Modern Art,Museum of Modern Art,0,0,,Candidate,
6237,Bates Manufacturing,Bates Manufacturing,0,0,,Candidate,
6239,Whipple and Black,Whipple and Black,0,0,,Candidate,
6242,T. S. Buck,T. S. Buck,0,0,,Candidate,
6247,C. W. F. Dare Company,C. W. F. Dare Company,1870,1879,active New York City ca. 1870-ca. 1879,Provisional,American
6259,Atelier International,Atelier International,1870,2070,n.d.,Provisional,American
6262,American Atelier,American Atelier,1883,2093,n.d.,Provisional,American
6263,BLK Group,BLK Group,1923,2023,n.d.,Provisional,American
6264,"Workshop, Inc.","Workshop, Inc.",0,0,,Candidate,American
6291,Solo Press,Solo Press,0,0,,Candidate,
6295,Double Elephant Press,Double Elephant Press,0,0,,Candidate,
6329,Harper's Monthly,Harper's Monthly,0,0,,Candidate,
6330,St. Nicholas Magazine,St. Nicholas Magazine,0,0,,Candidate,
6331,Century Magazine,Century Magazine,0,0,,Candidate,
6332,Goupil and Co.,Goupil and Co.,0,0,,Candidate,
6333,Scribner's Magazine,Scribner's Magazine,0,0,,Candidate,
6334,Ginn,Ginn,0,0,,Candidate,
6335,Scribner's Monthly,Scribner's Monthly,0,0,,Candidate,
6336,William Pate and Co.,William Pate and Co.,0,0,,Candidate,
6337,American Art Union,American Art Union,0,0,,Candidate,American
6339,American Book Co.,American Book Co.,0,0,,Candidate,American
6340,"Goupil, Vibert and Company","Goupil, Vibert and Company",1848,1848,founded New York City 1848,Candidate,
6342,New York Ledger,New York Ledger,0,0,,Candidate,
6345,Studio Print Association,Studio Print Association,0,0,,Candidate,
6347,Behr and Kahl,Behr and Kahl,0,0,,Candidate,
6386,Yankee Press,Yankee Press,0,0,,Candidate,American
6391,Tandem Press,Tandem Press,0,0,,Candidate,American
6393,Dumbarton Press,Dumbarton Press,0,0,,Candidate,
6395,Evans Editions,Evans Editions,0,0,,Candidate,American
6580,"Residents of Bourbon County, Kentucky","Residents of Bourbon County, Kentucky",1843,1943,n.d.,Provisional,American
6581,Peter Blum Edition,Peter Blum Edition,0,0,,Candidate,
6594,Shark's Ink,Shark's Ink,0,0,,Candidate,
6605,Print Club of Cleveland,Print Club of Cleveland,0,0,,Candidate,
6607,Margaret Lowendrund's Workshop,Margaret Lowendrund's Workshop,0,0,,Candidate,
6608,Lamson Wolffe and Co.,Lamson Wolffe and Co.,0,0,,Candidate,
6609,Alonzo Chappel Studio,Alonzo Chappel Studio,1828,1887,n.d.,Provisional,American
6610,Ocean Works,Ocean Works,0,0,,Candidate,American
6625,Atelier Franck Bordas,Atelier Franck Bordas,1936,2036,,Candidate,
6626,Edition Surrealistes,Edition Surrealistes,1876,1976,,Candidate,
6627,Vinalhaven Press,Vinalhaven Press,0,0,,Candidate,
6629,Suffolk Engraving Co.,Suffolk Engraving Co.,0,0,,Candidate,
6651,Davlan Engineering,Davlan Engineering,0,0,,Candidate,
6654,Echo Press,Echo Press,0,0,,Candidate,
6655,Aquarius Press,Aquarius Press,0,0,,Candidate,
6656,Woodcut Society,Woodcut Society,0,0,,Candidate,
6657,Factory Editions,Factory Editions,0,0,,Candidate,
6658,"Pace Editions, Inc.","Pace Editions, Inc.",0,0,,Candidate,
6661,Bartlett and French,Bartlett and French,1760,1960,active 1860s,Provisional,American
6672,Churchill and Denison Studios,Churchill and Denison Studios,1750,1969,active 1850s-1860s,Provisional,American
6677,Dunmore and Critcherson,Dunmore and Critcherson,1819,1875,active 1865-1875,Provisional,American
6685,Gilbert's Studio,Gilbert's Studio,1850,2050,active 20th century,Provisional,American
6692,Detroit Photo Company,Detroit Photo Company,1850,2050,active late 19th century,Provisional,American
6694,Jones and Brother,Jones and Brother,1810,1910,active 1860s,Provisional,American
6697,Kellogg Brothers,Kellogg Brothers,1810,1910,active 1860s,Provisional,American
6699,Langill and Darling,Langill and Darling,1839,1939,active 19th century,Provisional,American
6710,Pach Brothers,Pach Brothers,1866,1966,founded ca. 1866,Provisional,American
6711,Three Philadelphia Amateurs,Three Philadelphia Amateurs,1813,1913,active 19th century,Provisional,American
6713,Phillips and Sampson,Phillips and Sampson,0,0,n.d.,Candidate,
6724,Thi_baut Frères,Thi_baut Frères,1885,1901,"founded Paris, France 1885-closed 1901",Verified,French
6725,Henry-Bonnard Bronze Company,Henry-Bonnard Bronze Company,0,0,,Candidate,
6726,Jaboeuf et Bezout Fondeurs,Jaboeuf et Bezout Fondeurs,1888,1899,"founded Paris, France 1888-closed 1899",Verified,French
6727,Pendleton Publishers,Pendleton Publishers,0,0,,Candidate,
6728,Original Editions,Original Editions,0,0,,Candidate,
6732,Walton Studio,Walton Studio,1842,2042,active 1940s,Provisional,American
6746,Leblanc-Barbedienne and Fils,Leblanc-Barbedienne and Fils,1892,1954,"founded Paris, France 1892-closed 1954",Verified,French
6748,Southworth and Hawes,Southworth and Hawes,1845,1862,1845-1862,Verified,American
6749,Stadler Photographing Company,Stadler Photographing Company,1800,2000,active 1847-1900,Verified,American
6764,Whitney and Zimmerman,Whitney and Zimmerman,1750,1950,active 1860s-1870s,Provisional,American
6765,Williams Studio,Williams Studio,1900,1937,ca. 1900-ca. 1937,Provisional,American
6766,Zintsmaster Studio,Zintsmaster Studio,1885,1945,1885-1945,Provisional,American
6800,Andrew Balkin Productions,Andrew Balkin Productions,0,0,,Candidate,
6801,A.G.B. Graphics,A.G.B. Graphics,0,0,,Verified,American
6807,Maeght Editeur,Maeght Editeur,0,0,,Candidate,
6808,International Graphic Arts Society,International Graphic Arts Society,0,0,,Candidate,
6809,Broadside Art,Broadside Art,0,0,,Candidate,
6810,Atlantic Editions,Atlantic Editions,0,0,,Candidate,
6811,New Provincetown Print Project,New Provincetown Print Project,0,0,,Candidate,
6812,Deviere L'Etoile Studio,Deviere L'Etoile Studio,0,0,,Candidate,
6816,A. Lublin Inc.,A. Lublin Inc.,0,0,,Verified,American
6819,Aeropress,Aeropress,0,0,,Provisional,American
6820,American Abstract Artists,American Abstract Artists,0,0,,Candidate,American
6821,American Art Review,American Art Review,0,0,,Candidate,American
6842,RCAF,RCAF,1970,1970,founded 1970,Verified,American
6849,Multiples Press,Multiples Press,0,0,,Candidate,
6850,I. T. Bowen's Lithographic Establishment,I. T. Bowen's Lithographic Establishment,0,0,,Candidate,
6852,Daniel Rice and James G. Clark,Daniel Rice and James G. Clark,0,0,,Candidate,
6853,Lithographic and Print Coloring Establishment,Lithographic and Print Coloring Establishment,0,0,,Candidate,
6856,Lehman and Duval,Lehman and Duval,0,0,,Candidate,
6871,Society of Print Connoisseurs,Society of Print Connoisseurs,0,0,,Candidate,
6872,"E. Weyhe, Inc.","E. Weyhe, Inc.",0,0,,Candidate,
6874,Society of American Graphic Artists,Society of American Graphic Artists,0,0,,Candidate,
6876,Erebus Press,Erebus Press,0,0,,Candidate,
6877,Gehenna Press,Gehenna Press,0,0,,Candidate,
6878,Atelier Mourlot,Atelier Mourlot,1967,1972,founded New York City 1967-closed ca. 1972,Verified,American
6879,Lakeside Studio Editions,Lakeside Studio Editions,0,0,,Candidate,
6880,L. Prang and Co.,L. Prang and Co.,0,0,,Candidate,
6881,Printmaker's Workshop,Printmaker's Workshop,0,0,,Candidate,
6882,J. T. Bowen's Lithographic Establishment,J. T. Bowen's Lithographic Establishment,0,0,,Candidate,
6883,Fonderia Nicci,Fonderia Nicci,1907,2107,founded 1907,Provisional,Italian
6889,Editions Alecto Limited,Editions Alecto Limited,0,0,,Candidate,
6891,E. Sachse and Co.,E. Sachse and Co.,0,0,,Candidate,
6893,Knilns,Knilns,0,0,,Candidate,
6898,American Artists Group,American Artists Group,0,0,,Candidate,American
6899,Limerick Bronze Works,Limerick Bronze Works,0,0,,Candidate,American
6900,Endicott and Co.,Endicott and Co.,0,0,,Candidate,
6901,New York Etching Club,New York Etching Club,0,0,,Candidate,
6902,Cassell and Co.,Cassell and Co.,0,0,,Candidate,
6903,Kimmel and Voight,Kimmel and Voight,0,0,,Candidate,
6904,Revue de l'Art Ancien,Revue de l'Art Ancien,0,0,,Candidate,
6905,Pratt Graphics Art Center,Pratt Graphics Art Center,0,0,,Candidate,
6906,Galerie der Spiegel,Galerie der Spiegel,0,0,,Candidate,
6907,Edition Domberger,Edition Domberger,0,0,,Candidate,
6908,Tanglewood Press,Tanglewood Press,0,0,,Candidate,
6912,Society of American Etchers,Society of American Etchers,0,0,,Candidate,
6913,Harper's Bazaar,Harper's Bazaar,0,0,,Candidate,
6914,Bedi-Makky Art Foundry Corp.,Bedi-Makky Art Foundry Corp.,1923,2023,,Provisional,American
6916,Bedi-Rassy Art Foundry,Bedi-Rassy Art Foundry,1904,2013,n.d.,Provisional,American
6922,Lippincott,Lippincott,0,0,,Candidate,
6927,"Fox Graphics Editions, Ltd.","Fox Graphics Editions, Ltd.",0,0,,Candidate,
6930,Nash Editions,Nash Editions,0,0,,Candidate,
6931,Caren Golden Fine Arts,Caren Golden Fine Arts,0,0,,Candidate,American
6936,Graphics International,Graphics International,0,0,,Candidate,
6938,Transworld Art Corporation of New York City,Transworld Art Corporation of New York City,0,0,,Candidate,
6939,Ateliers Rigal,Ateliers Rigal,0,0,,Candidate,
6940,American Artists School,American Artists School,0,0,,Candidate,American
6943,Grace Borgenicht Gallery,Grace Borgenicht Gallery,0,0,,Candidate,
6945,Fine Creations,Fine Creations,0,0,,Candidate,
6946,Heliotype Printing Company,Heliotype Printing Company,0,0,,Candidate,
6947,Compagnie Parisienne de Distribution d'Electricite,Compagnie Parisienne de Distribution d'Electricite,0,0,,Candidate,
6955,Contemporary Print Group,Contemporary Print Group,0,0,,Candidate,
6957,Collector's Press,Collector's Press,0,0,,Candidate,
6959,G. W. Einstein Co.,G. W. Einstein Co.,0,0,,Candidate,
6960,Democratic National Committee,Democratic National Committee,0,0,,Candidate,
6961,Gem Screens,Gem Screens,0,0,,Candidate,
6964,David Whitney Gallery,David Whitney Gallery,0,0,,Candidate,
6969,American Color Print Society,American Color Print Society,0,0,,Candidate,American
6970,Pippin Press,Pippin Press,0,0,,Candidate,
6971,George C. Miller and Son,George C. Miller and Son,0,0,,Candidate,
6978,Color Proof Association,Color Proof Association,0,0,,Candidate,
6982,"Lawson, Wolffe and Co.","Lawson, Wolffe and Co.",0,0,,Candidate,
6985,Fequet and Baudier,Fequet and Baudier,0,0,,Candidate,
6986,Editions Pierre Belfond,Editions Pierre Belfond,0,0,,Candidate,
6987,Editions Visat,Editions Visat,0,0,,Candidate,
6989,Davidson Press,Davidson Press,0,0,,Candidate,
6991,George Washington Memorial Association,George Washington Memorial Association,0,0,,Candidate,
6993,Voight Lithography Co.,Voight Lithography Co.,0,0,,Candidate,
6994,Atelier Ettinger,Atelier Ettinger,0,0,,Candidate,
6995,Fox Press,Fox Press,0,0,,Candidate,
6997,Shi-Un-Do Printshop,Shi-Un-Do Printshop,0,0,,Candidate,
6998,Multiples Inc.,Multiples Inc.,0,0,,Candidate,
7000,Imbert's Lithography,Imbert's Lithography,0,0,,Candidate,
7001,Copley Galleries,Copley Galleries,0,0,,Candidate,
7002,G. H. Dalsheimer Gallery,G. H. Dalsheimer Gallery,0,0,,Candidate,
7003,Photography Gallery,Photography Gallery,0,0,,Candidate,
7005,X Press,X Press,0,0,,Candidate,
7009,Gallery Rebecca Cooper,Gallery Rebecca Cooper,0,0,,Candidate,
7016,Mobi Corporation,Mobi Corporation,0,0,,Candidate,
7017,Spiro Zakas Association,Spiro Zakas Association,0,0,,Candidate,
7020,North River Pottery,North River Pottery,0,0,,Candidate,
7021,Iron Mountain Stoneware,Iron Mountain Stoneware,0,0,,Candidate,
7022,Rosenbloom Pottery,Rosenbloom Pottery,0,0,,Candidate,
7023,East Valley Pottery,East Valley Pottery,0,0,,Candidate,
7025,Rosenthal,Rosenthal,0,0,,Candidate,
7026,Copco,Copco,0,0,,Candidate,
7027,Chemex Corporation,Chemex Corporation,0,0,,Candidate,
7028,Industrias Capri,Industrias Capri,0,0,,Candidate,
7030,Cowan Pottery,Cowan Pottery,1912,1931,1912-1931,Provisional,American
7037,Kilburn Brothers,Kilburn Brothers,1777,1926,active 1855-1870s,Verified,American
7040,Strohmeyer and Wyman,Strohmeyer and Wyman,1794,1994,active 1887-1899,Provisional,American
7041,E. and H. T. Anthony and Co.,E. and H. T. Anthony and Co.,1852,1901,1852-1901,Verified,American
7061,Henderson-Ames Company,Henderson-Ames Company,1858,1958,n.d.,Candidate,American
7099,Impressions Workshop,Impressions Workshop,0,0,,Candidate,
7100,Medallic Art Company,Medallic Art Company,0,0,,Candidate,American
7105,Meissen,Meissen,0,0,,Candidate,
7111,Bradley and Rulofson,Bradley and Rulofson,0,0,,Candidate,American
7127,Underwood and Underwood,Underwood and Underwood,1802,2002,active 1881-1900s,Provisional,American
7131,Thomas Houseworth and Co.,Thomas Houseworth and Co.,1815,1915,active 1866-1874,Verified,American
7139,Sexwick Pottery,Sexwick Pottery,0,0,,Candidate,
7171,Mugen Unlimited,Mugen Unlimited,0,0,,Candidate,
7172,Osolnik Originals,Osolnik Originals,0,0,,Candidate,
7173,League of New Hampshire Craftsmen,League of New Hampshire Craftsmen,0,0,,Candidate,
7178,Peola Craftsmen,Peola Craftsmen,0,0,,Candidate,
7179,Matrix Pottery,Matrix Pottery,0,0,,Candidate,
7185,Modern Art Foundry,Modern Art Foundry,0,0,,Candidate,
7187,Segura Publishing Company,Segura Publishing Company,0,0,,Candidate,American
7188,Keystone View Company,Keystone View Company,1892,1939,"active Meadville, PA ca. 1892-ca. 1939",Provisional,American
7191,Centennial Photographic Company,Centennial Photographic Company,1775,1976,active 1875-1876,Verified,American
7198,Goyena family,Goyena family,1810,1859,active Puerto Rico 1810-1850s,Verified,American
7199,Arce group,Arce group,1850,1950,mid 19th to early 20th centuries,Verified,American
7200,Caban group,Caban group,1825,1950,active second quarter of 19th century-first half of 20th century,Verified,American
7204,Espada Family,Espada Family,19,19,active 19th century,Provisional,American
7205,Lares group,Lares group,1825,1950,active mid 19th century-mid 20th century,Verified,American
7208,Rivera group,Rivera group,1850,1941,active mid 19th century-1941,Verified,American
7213,J. H. Bufford's Lith.,J. H. Bufford's Lith.,0,0,,Candidate,American
7214,Imprimerie Mourlot Frères,Imprimerie Mourlot Frères,1852,2052,"founded Paris, France ca. 1852",Provisional,French
7215,Sarony and Major,Sarony and Major,0,0,,Candidate,American
7217,LG/Art Inst.,LG/Art Inst.,0,0,,Candidate,
7218,"Offset Institute, Brandywine Graphic Workshop","Offset Institute, Brandywine Graphic Workshop",0,0,,Candidate,
7225,La Raza Graphic Center,La Raza Graphic Center,1971,2071,founded 1971,Candidate,American
7226,Mission Grafica 85,Mission Grafica 85,0,0,,Candidate,American
7230,Phelps/Schaefer Lithographics,Phelps/Schaefer Lithographics,0,0,,Candidate,American
7241,Bradley Metal Design,Bradley Metal Design,0,0,,Candidate,American
7247,Graphic Workshop,Graphic Workshop,1970,2070,founded 1970,Candidate,American
7268,Three Rivers Press,Three Rivers Press,0,0,,Candidate,American
7270,"Division of Information, Office for Emergency Management","Division of Information, Office for Emergency Management",0,0,,Candidate,American
7271,U.S. Government Printing Office,U.S. Government Printing Office,0,0,,Candidate,American
7273,Industrial Screenprint,Industrial Screenprint,0,0,,Candidate,
7274,Grinnell Lithographic Co.,Grinnell Lithographic Co.,0,0,,Candidate,American
7282,Experiments in Art and Technology,Experiments in Art and Technology,0,0,,Candidate,
7283,Erker Presse,Erker Presse,0,0,,Candidate,
7285,Modern Age Photographic Services,Modern Age Photographic Services,0,0,,Candidate,
7292,Sirocco Screenprints,Sirocco Screenprints,0,0,,Candidate,American
7329,Cycle Publishing Company,Cycle Publishing Company,0,0,,Candidate,
7330,Louis Prang and Co.,Louis Prang and Co.,0,0,,Candidate,American
7333,National Postal Museum,National Postal Museum,0,0,,Candidate,
7334,Government Printing Office,Government Printing Office,0,0,,Candidate,American
7338,Amalgamated Lithographers,Amalgamated Lithographers,0,0,,Candidate,
7339,Container Corporation of America,Container Corporation of America,0,0,,Candidate,American
7340,Sneakyville Printing,Sneakyville Printing,0,0,,Candidate,
7391,Boeing Print Shop,Boeing Print Shop,0,0,,Candidate,
7392,Boeing Company,Boeing Company,0,0,,Candidate,
7555,"Tamarind Lithography Workshop, Inc.","Tamarind Lithography Workshop, Inc.",0,0,,Candidate,
7804,"Washington Printmakers, Inc.","Washington Printmakers, Inc.",0,0,,Candidate,
8015,Meriden Grauvre,Meriden Grauvre,0,0,,Candidate,
11961,Society of Washington Printmakers,Society of Washington Printmakers,0,0,,Candidate,
12804,"Society for the Arts, Religion, and Contemporary Culture","Society for the Arts, Religion, and Contemporary Culture",0,0,,Candidate,
13536,United Limited Art Editions,United Limited Art Editions,0,0,,Candidate,
13899,"Roman Bronze Works, Inc.","Roman Bronze Works, Inc.",0,0,,Candidate,American
16028,"Brooke Alexander Editions, Inc.","Brooke Alexander Editions, Inc.",0,0,,Candidate,American
16091,Marlborough Gallery Inc.,Marlborough Gallery Inc.,0,0,,Candidate,
16391,Robert Brown Gallery,Robert Brown Gallery,0,0,,Candidate,
16467,Kathleen Ewing Gallery,Kathleen Ewing Gallery,0,0,,Candidate,
17076,Galerie Lelong,Galerie Lelong,0,0,,Candidate,
17620,Pushpin Group Incorporated,Pushpin Group Incorporated,0,0,,Candidate,
18181,Akasha Press,Akasha Press,0,0,,Candidate,
18199,Strobridge Lithographing Company,Strobridge Lithographing Company,0,0,,Candidate,
18207,Neon Rose,Neon Rose,0,0,,Candidate,
18208,Graphic Arts of Marin,Graphic Arts of Marin,0,0,,Candidate,
18209,Cal Litho,Cal Litho,0,0,,Candidate,
18210,"Shorewood Atelier, Inc.","Shorewood Atelier, Inc.",0,0,,Candidate,
18211,Signet Arts,Signet Arts,0,0,,Candidate,
18215,"Schweizerischer-Kunstverein, Societe Suiss des Beaux Arts","Schweizerischer-Kunstverein, Societe Suiss des Beaux Arts",0,0,,Candidate,Swiss
18216,Friends of Art of the Nelson Atkins Museum of Art,Friends of Art of the Nelson Atkins Museum of Art,0,0,,Candidate,
18221,Office of War Information,Office of War Information,0,0,,Candidate,
18222,HKL Ltd.,HKL Ltd.,0,0,,Candidate,
18223,Olivetti Corporation,Olivetti Corporation,1908,2108,,Provisional,
18224,Ocean Promotion,Ocean Promotion,0,0,,Candidate,
18225,Continental Identification Products,Continental Identification Products,1933,2133,,Provisional,
18226,Wayside Press,Wayside Press,1895,0,founded 1895,Candidate,
18227,Narcoti Chemical Co.,Narcoti Chemical Co.,0,0,,Candidate,
18230,"Jackie Fine Arts, Inc.","Jackie Fine Arts, Inc.",0,0,,Candidate,
18232,Atelier Editions,Atelier Editions,0,0,,Candidate,
18235,Siena Studios,Siena Studios,0,0,,Candidate,
